<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13970921,2070,2136,2001,2091,314892645
13970924,2092,2145,1987,2032,213913381
13970925,1950,2030,1931,1954,100775878
13970926,1857,1927,1857,1865,302047730
13970927,1855,1935,1801,1903,181773107
13970928,1934,1934,1830,1868,110068553
13971001,1860,1898,1785,1834,99679716
13971002,1830,1909,1785,1879,117041114
13971003,1900,1945,1880,1916,71058515
13971004,1950,1953,1890,1911,67864021
13971005,1920,1920,1856,1881,88768208
13971008,1895,1898,1830,1858,76250197
13971009,1835,1888,1795,1844,76128643
13971010,1901,1901,1847,1874,60828564
13971011,1856,1856,1799,1813,106846429
13971012,1790,1795,1723,1736,146432861
13971015,1680,1731,1650,1660,116289989
13971016,1632,1743,1590,1708,182413126
13971017,1750,1790,1725,1764,92738896
13971018,1770,1770,1693,1715,75405584
13971019,1778,1866,1690,1747,79577230
13971022,1706,1706,1660,1666,172881087
13971023,1621,1661,1591,1614,143334982
13971024,1620,1645,1575,1595,109869919
13971025,1580,1622,1550,1577,125967848
13971026,1590,1619,1585,1596,66545717
13971029,1612,1612,1556,1569,67675669
13971030,1560,1560,1501,1516,99410646
13971101,1591,1591,1510,1579,203193863
13971102,1599,1620,1551,1580,82562885
13971103,1559,1561,1520,1533,67632310
13971106,1530,1530,1457,1468,144011197
13971107,1452,1509,1443,1468,84698709
13971108,1460,1469,1402,1416,90540518
13971109,1420,1489,1353,1429,317461808
13971110,1441,1441,1369,1387,191121766
13971113,1350,1357,1318,1326,93095235
13971114,1290,1310,1260,1271,269460487
13971115,1292,1334,1292,1325,85786971
13971116,1391,1391,1354,1387,245735040
13971117,1430,1449,1385,1416,217326972
13971121,1380,1380,1346,1355,140337882
13971123,1325,1345,1289,1303,127297929
13971124,1300,1368,1300,1355,216305953
13971127,1375,1418,1370,1396,120587927
13971128,1370,1389,1330,1343,102257259
13971129,1390,1440,1351,1373,70507459
13971130,1376,1413,1353,1387,110738188
13971201,1394,1456,1382,1448,237525400
13971204,1498,1520,1480,1517,272850005
13971205,1550,1562,1491,1526,206910876
13971206,1505,1592,1488,1548,240205411
13971207,1520,1555,1478,1509,174467865
13971208,1520,1534,1475,1495,143447231
13971211,1484,1484,1431,1449,125085965
13971212,1440,1484,1396,1429,198487782
13971213,1472,1488,1450,1475,125509004
13971214,1480,1487,1425,1441,78919623
13971215,1420,1448,1404,1418,95843122
13971218,1406,1418,1375,1385,102666771
13971219,1370,1548,1370,1457,163153743
13971220,1447,1504,1435,1479,207498599
13971221,1455,1472,1427,1443,96559874
13971222,1480,1499,1426,1450,129386763
13971225,1430,1465,1408,1432,116501824
13971226,1446,1477,1421,1437,76091971
13971227,1440,1459,1437,1446,78934216
13971228,1450,1480,1450,1465,137639324
13980105,1475,1477,1440,1449,63561126
13980106,1450,1469,1431,1452,101521005
13980107,1469,1524,1468,1518,235350064
13980110,1560,1593,1540,1589,237725261
13980111,1630,1645,1531,1584,229097328
13980117,1591,1625,1548,1601,146915872
13980118,1640,1681,1621,1670,349939681
13980119,1640,1738,1619,1691,341774293
13980120,1699,1739,1652,1690,232791906
13980121,1718,1772,1689,1748,260484062
13980124,1774,1800,1687,1727,224141710
13980125,1676,1719,1649,1682,187840409
13980126,1705,1759,1705,1727,184042441
13980127,1716,1722,1641,1669,199431015
13980128,1610,1645,1586,1610,188612009
13980131,1625,1685,1625,1660,180823366
13980202,1710,1710,1601,1643,177492583
13980203,1606,1635,1582,1604,132619187
13980204,1600,1636,1581,1599,158783826
13980207,1616,1644,1601,1616,158753277
13980208,1627,1675,1627,1655,191717384
13980209,1689,1770,1689,1715,179365420
13980210,1770,1770,1646,1706,221924251
13980211,1670,1699,1649,1677,203414932
13980214,1659,1760,1659,1747,452145051
13980215,1808,1834,1750,1822,617411040
13980216,1890,1913,1780,1883,1013887239
13980217,1895,1920,1789,1801,535396810
13980218,1800,1885,1780,1834,395167702
13980221,1785,1833,1743,1782,337783280
13980222,1723,1748,1693,1698,369716505
13980223,1710,1770,1680,1728,184637901
13980224,1751,1789,1725,1749,228450848
13980225,1762,1775,1681,1730,186002489
13980228,1721,1790,1716,1763,205286855
13980229,1759,1841,1734,1806,302476977
13980230,1830,1830,1753,1783,154781329
13980231,1768,1810,1768,1788,130861242
