<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13920717,509.05,511,496,500.99,20056032
13920720,511.86,526,499,521.2,19513646
13920721,534.51,543,521,530.54,15083461
13920722,523.12,528,516,520.44,10979356
13920723,515.96,542,516,529.52,10230475
13920727,529.65,543,512,526.45,13352009
13920728,515.83,516,502,508.79,7782459
13920729,505.34,513,499,504.83,8601563
13920730,503.42,510,494,505.08,5023080
13920801,504.06,517,502,510.97,6464234
13920804,509.18,525,499,507.51,3973187
13920805,502.91,508,494,497.41,3672484
13920806,497.66,498,480,487.56,3761975
13920807,493.83,502,488,495.36,2487181
13920808,497.66,505,480,492.42,9059464
13920811,494.08,499,481,490.5,4884514
13920812,490.63,491,483,485.25,4497066
13920813,481.67,491,481,485.64,3484867
13920814,488.84,495,479,486.53,6154608
13920815,486.15,486,481,484.49,6038293
13920818,491.27,499,473,481.29,6415663
13920819,476.04,486,476,480.65,3172952
13920820,477.19,477,461,468.11,7546089
13920821,470.16,490,470,477.83,3876369
13920825,487.56,502,477,495.62,6987230
13920826,502.78,503,481,487.3,3898302
13920827,486.15,486,473,475.79,7507026
13920828,484.61,493,478,483.34,3964348
13920829,482.95,488,481,484.1,4200508
13920902,486.15,494,481,486.41,4301627
13920903,491.27,499,481,491.78,5700102
13920904,497.41,497,471,485.25,8821585
13920905,479.88,480,471,474.51,5116493
13920906,476.04,482,470,474.64,5800892
13920909,470.93,475,467,471.31,4360379
13920910,473.36,495,473,494.21,27806088
13920911,494.85,510,486,497.28,8548281
13920912,497.28,499,476,486.28,3519095
13920913,475.92,484,471,474.38,3555738
13920916,473.61,480,470,472.84,5914888
13920917,473.48,482,470,475.4,10626668
13920918,484.87,492,476,483.46,6686806
13920919,497.66,508,493,506.49,9466381
13920920,531.69,532,518,531.44,56122849
13920923,531.44,558,531,551.01,36128613
13920924,578.52,579,576,578.52,31043531
13920925,606.41,607,550,588.37,52027957
13920926,575.7,581,559,564.06,21994426
13920927,556.51,578,549,556.13,28078149
13920930,560.86,576,549,564.45,14776666
13921001,575.7,576,557,563.68,13734179
13921003,571.74,592,563,590.54,39354085
13921004,616.64,620,604,619.59,39132021
13921007,626.88,627,601,611.78,20408168
13921008,603.85,605,595,600.4,15534867
13921009,605.13,612,591,601.55,11104250
13921011,595.28,600,586,594.38,9217634
13921014,594.89,595,573,581.59,22060899
13921015,588.37,588,573,577.37,9505165
13921016,584.53,604,585,598.35,10948666
13921017,601.16,601,576,582.61,7317599
13921018,588.24,588,557,570.33,8723241
13921021,570.59,571,557,562.14,9176967
13921022,557.79,569,534,539.11,9848393
13921023,562.91,566,561,565.85,3256977
13921024,575.7,587,557,567.13,7554019
13921025,573.78,574,544,559.2,1993602
13921028,587.09,587,567,583,8088737
13921030,578.26,588,554,567,3491076
13921101,581.72,587,553,569.82,2462888
13921102,559.58,571,544,551.27,3023315
13921105,559.07,569,559,563.04,661133
13921106,550.24,563,535,537.07,2497324
13921107,515.96,532,510,511.86,7380521
13921108,527.09,537,527,536.68,3478532
13921109,553.96,563,549,557.79,2665589
13921112,575.58,586,573,584.92,5570254
13921113,586.58,590,563,578.65,5409629
13921114,574.42,587,558,573.27,2255450
13921115,581.97,582,568,573.78,2711029
13921116,553.96,574,545,547.43,2608448
13921119,530.03,537,520,522.74,3630474
13921120,518.13,543,518,536.17,1312048
13921121,542.44,554,511,519.67,2573186
13921123,499.46,512,494,494.21,1838948
13921126,483.72,519,484,511.35,1945519
13921127,527.22,537,527,534.51,753329
13921128,561.12,561,525,559.71,4332519
13921129,555.23,565,541,551.65,3324017
13921130,550.24,574,550,564.57,2446008
13921203,562.91,585,558,575.96,4840612
13921204,563.17,574,552,561.89,1530643
13921205,550.24,550,537,545.51,2830702
13921206,537.45,542,527,532.97,2229028
13921207,528.5,550,522,535.15,1527686
13921210,547.3,552,537,545,911279
13921211,537.32,537,525,528.88,888677
13921212,525.43,525,509,513.02,1083207
13921213,523.25,530,512,525.55,1388510
13921214,533.36,548,526,537.58,2211680
13921217,537.32,544,519,526.58,1124223
13921218,523.25,523,512,514.68,1296010
13921219,514.55,515,510,511.86,1433349
13921220,511.74,518,505,509.56,1305696
13921221,501.5,535,502,523.51,1859634
13921224,533.61,541,525,529.9,3145160
13921225,532.85,548,522,536.43,4506408
13921226,543.72,555,532,547.17,3759304
13921227,543.72,549,533,540.01,1792464
13921228,531.05,543,531,536.56,1667214
13930105,532.33,543,525,533.87,713679
13930106,538.6,539,524,527.47,523538
13930109,524.91,525,520,521.2,457478
13930110,536.17,536,526,530.29,535183
13930111,534.13,536,519,525.17,3377097
13930116,524.53,533,512,522.23,1323156
13930117,520.69,522,512,516.98,1931549
13930118,511.74,518,502,510.2,3390037
13930119,502.91,521,503,508.79,1972524
13930120,511.74,512,500,504.44,952097
13930123,511.74,518,505,511.1,1475007
13930124,511.61,513,489,499.58,2819463
13930125,496.38,499,481,489.09,2920732
13930126,492.55,514,486,508.03,2921723
13930127,522.99,524,510,513.66,2124527
13930130,511.74,512,493,498.43,944216
13930131,511.99,518,505,511.48,1942556
13930201,510.59,537,509,527.73,7646797
13930202,537.32,553,519,536.68,3974066
13930203,533.23,537,522,534.51,3598053
13930206,535.15,561,535,557.03,8025285
13930207,561.63,562,540,552.68,5046219
13930208,547.17,557,531,547.94,3978155
13930209,551.14,551,525,540.39,2846924
13930210,528.24,548,528,540.91,1629054
13930213,539.88,544,532,536.04,1404608
13930214,537.2,540,522,532.08,2692953
13930215,537.2,544,521,535.79,1938655
13930216,537.2,539,530,535.15,1866178
13930217,543.34,543,528,532.46,2382943
13930220,536.04,536,525,531.69,2227040
13930221,525.94,533,525,529.78,1194698
13930222,530.93,531,514,522.99,2618377
13930224,518.13,527,516,523.25,2652794
13930227,515.57,518,500,510.71,2503754
13930228,511.74,522,507,514.55,2232392
13930229,506.88,514,505,509.82,2781035
13930230,510.46,514,507,510.97,2325249
13930231,518.01,521,510,516.47,5852870
13930303,521.97,523,507,511.61,1277203
13930304,505.72,512,502,509.82,2176405
13930305,505.21,513,502,507.64,1593981
13930307,507.9,508,495,501.5,1268907
13930310,498.94,500,493,498.3,1832054
13930311,497.66,498,473,479.75,4805126
13930312,483.59,494,476,487.05,1455729
13930313,482.7,503,483,495.74,1300706
13930317,503.93,504,493,494.85,830394
13930318,488.84,499,489,496.26,1523371
13930319,487.43,495,486,487.94,779625
13930320,486.15,499,482,492.8,1728263
13930321,486.15,488,474,479.75,1050671
13930324,473.61,474,456,456.98,1801328
13930325,443.93,455,435,439.58,1991922
13930326,447.77,461,448,459.54,1319087
13930327,461.84,468,445,455.32,280860
13930328,455.45,461,442,453.53,664044
13930331,450.33,461,444,454.04,1491360
13930401,455.45,458,442,449.82,816465
13930402,451.61,452,437,439.33,371600
13930403,436.77,439,418,422.69,1709722
13930404,419.37,428,402,407.73,2037301
13930407,407.73,408,387,390.07,1200633
13930408,382.27,382,371,371.52,897700
13930409,358.34,377,353,356.81,2587749
13930410,367.04,375,358,372.03,770980
13930411,390.58,391,391,390.58,105033
13930414,410.03,410,410,410.03,277246
13930415,430.5,430,403,422.18,5110329
13930416,409.39,430,402,417.32,1823274
13930417,411.95,438,412,436.51,2526427
13930418,435.1,439,422,430.37,1729904
13930421,428.45,434,411,423.08,1581536
13930422,411.31,422,402,403.89,2368963
13930423,386.36,424,386,416.94,4696199
13930431,430.5,441,418,421.93,1319631
13930501,422.18,422,409,420.78,1071302
13930504,418.34,418,401,417.19,928716
